ingredient_code,ingredient_name_eng,dur_categories,elderly_caution_detail,ingredient_name_kor,category,common_dose
420002ATB,amisulpride,노인주의|병용금기|연령금기|임산부금기,"고령자에 투여시 저혈압이나 진정의 위험 야기, 치매 고령환자에게 항정신병약물 투여시 뇌혈관질환(뇌졸중), 사망의 위험 증가, 고령자 신중투여",,,
420003ATB,amisulpride,노인주의|병용금기|연령금기|임산부금기,"고령자에 투여시 저혈압이나 진정의 위험 야기, 치매 고령환자에게 항정신병약물 투여시 뇌혈관질환(뇌졸중), 사망의 위험 증가, 고령자 신중투여",,,
420004ATB,amisulpride,노인주의|병용금기|연령금기|임산부금기,"고령자에 투여시 저혈압이나 진정의 위험 야기, 치매 고령환자에게 항정신병약물 투여시 뇌혈관질환(뇌졸중), 사망의 위험 증가, 고령자 신중투여",,,
204001ATB,olanzapine,노인주의|병용금기|연령금기|임산부금기,"치매와 연관된 정신병과/또는 행동장애를 가진 노인 환자를 대상으로 한 위약 대조 임상시험 결과, 사망률과 뇌혈관 장애의 위험성 증가. 동일한 임상시험들에서 사망례를 포함한 뇌혈관 이상반응(예. 뇌졸중, 일시적인 허혈성 발작)이 보고됨. 항정신병약물을 장기간 사용하였을 때 지연운동이상증의 위험성은 증가하였으며 이러한 증후군의 발생율은 여성 고령자에게서 가장 높음.",,,
204001ATD,olanzapine,노인주의|병용금기|연령금기|임산부금기,"치매와 연관된 정신병과/또는 행동장애를 가진 노인 환자를 대상으로 한 위약 대조 임상시험 결과, 사망률과 뇌혈관 장애의 위험성 증가. 동일한 임상시험들에서 사망례를 포함한 뇌혈관 이상반응(예. 뇌졸중, 일시적인 허혈성 발작)이 보고됨. 항정신병약물을 장기간 사용하였을 때 지연운동이상증의 위험성은 증가하였으며 이러한 증후군의 발생율은 여성 고령자에게서 가장 높음.",,,
204002ATB,olanzapine,노인주의|병용금기|연령금기|임산부금기,"치매와 연관된 정신병과/또는 행동장애를 가진 노인 환자를 대상으로 한 위약 대조 임상시험 결과, 사망률과 뇌혈관 장애의 위험성 증가. 동일한 임상시험들에서 사망례를 포함한 뇌혈관 이상반응(예. 뇌졸중, 일시적인 허혈성 발작)이 보고됨. 항정신병약물을 장기간 사용하였을 때 지연운동이상증의 위험성은 증가하였으며 이러한 증후군의 발생율은 여성 고령자에게서 가장 높음.",,,
204002ATD,olanzapine,노인주의|병용금기|연령금기|임산부금기,"치매와 연관된 정신병과/또는 행동장애를 가진 노인 환자를 대상으로 한 위약 대조 임상시험 결과, 사망률과 뇌혈관 장애의 위험성 증가. 동일한 임상시험들에서 사망례를 포함한 뇌혈관 이상반응(예. 뇌졸중, 일시적인 허혈성 발작)이 보고됨. 항정신병약물을 장기간 사용하였을 때 지연운동이상증의 위험성은 증가하였으며 이러한 증후군의 발생율은 여성 고령자에게서 가장 높음.",,,
204004ATB,olanzapine,노인주의|병용금기|연령금기|임산부금기,"치매와 연관된 정신병과/또는 행동장애를 가진 노인 환자를 대상으로 한 위약 대조 임상시험 결과, 사망률과 뇌혈관 장애의 위험성 증가. 동일한 임상시험들에서 사망례를 포함한 뇌혈관 이상반응(예. 뇌졸중, 일시적인 허혈성 발작)이 보고됨. 항정신병약물을 장기간 사용하였을 때 지연운동이상증의 위험성은 증가하였으며 이러한 증후군의 발생율은 여성 고령자에게서 가장 높음.",,,
204005ATB,olanzapine,노인주의|병용금기|연령금기|임산부금기,"치매와 연관된 정신병과/또는 행동장애를 가진 노인 환자를 대상으로 한 위약 대조 임상시험 결과, 사망률과 뇌혈관 장애의 위험성 증가. 동일한 임상시험들에서 사망례를 포함한 뇌혈관 이상반응(예. 뇌졸중, 일시적인 허혈성 발작)이 보고됨. 항정신병약물을 장기간 사용하였을 때 지연운동이상증의 위험성은 증가하였으며 이러한 증후군의 발생율은 여성 고령자에게서 가장 높음.",,,
211401ATB,perphenazine,노인주의|병용금기|연령금기|임산부금기,"노인에서의 정형 항정신병약물 사용은 추체외로 증상, 항콜린성 부작용 등이 나타나기 쉬우므로 사용을 추천하지 않으며, 비정형 항정신병약물 사용을 추천함",,,
616101ATB,avanafil,병용금기|연령금기|임산부금기,,,,
616102ATB,avanafil,병용금기|연령금기|임산부금기,,,,
116001ATB,benztropine mesylate,노인주의|연령금기|임산부금기,항콜린성 작용이 있는 약제와의 병용으로 인해 항콜린 부작용이 증가하므로 동시 사용을 추천하지 않음,,,
